Card#,Title,Artist,Year,SpotifyURL
114,Shining,Wendy Carlos,1980,https://open.spotify.com/track/4WnuHIJTLrFkAQdpryLDe7
115,James Bond 007 - Skyfall,Adele,2012,https://open.spotify.com/track/0aNeIicoavicvcpf1QsxEU
116,Zwei Banditen (Raindrops Keep Fallin' On My Head),Burt Bacharach,1969,https://open.spotify.com/track/3BHjT29iLnQJ4JtI8uCiiA
117,Tatsächlich Liebe (Christmas Is All Around),Billy Mack,2003,https://open.spotify.com/track/56ujP3oacjM5cQ8ndqFyma
118,Kevin - Allein zu Haus (Somewhere in My Memory),John Williams,1990,https://open.spotify.com/track/18y4Z1CYOhc0rzTY6JikiP
119,Baywatch (I'm Always Here),Jimi Jamison,1989,https://open.spotify.com/track/1VPFVwex8qVekgPbd869kv
120,Cocktail (Kokomo),The Beach Boys,1988,https://open.spotify.com/track/3wgxpFGbgAighXR6eo56nW
121,Das fünfte Element (The Diva Dance),"Éric Serra, Inva Mula",1997,https://open.spotify.com/track/6Ny3VCHBjwbQZyDNJm60EI
122,Police Academy,Robert Folk,1984,https://open.spotify.com/track/0a8ez4xfb1Qyl1KCxgmpuk
123,Falcon Crest,Marc Bradley,1981,https://open.spotify.com/track/0Bm4ERW2KHz2Ol0JFlAh2n
124,Die Bourne Identität (Extreme Ways),"Richard Hall, Moby",2002,https://open.spotify.com/track/0AKjSakBY2ynWdtOH4cTHm
125,Requiem for a Dream (Lux Aeterna),Clint Mansell,2000,https://open.spotify.com/track/62Da3JOu9H9EIgmqV7DoLG
126,Robin Hood - König der Diebe ((Everything I Do) I Do It For You),Bryan Adams,1991,https://open.spotify.com/track/71g0X9Lq4HZLv7Bw3dOVG0
127,Psycho (Prelude),Bernard Herrmann,1960,https://open.spotify.com/track/5L5fwo8nQjcFhSMTWpLOes
128,Marry Poppins (Supercalifragilisticexpialidocious),"Julie Andrews, Dick Van Dyke",1964,https://open.spotify.com/track/1RYnHNRvcxiRqyzIN7MWCy
129,Modern Family,Gabriel Mann,2009,https://open.spotify.com/track/54idR8y69xUnLlRbsquSzk
130,Jäger des verlorenen Schatzes (Indiana Jones),John Williams,1981,https://open.spotify.com/track/6Xb48xB8XgTBnNpaQmZssU
131,Die Sopranos (Woke Up This Morning),Alabama 3,1999,https://open.spotify.com/track/1dNTpO37Au7kqNnRHmr9RR
132,West Side Story (America),Leonard Bernstein,1961,https://open.spotify.com/track/1RZ6jzlPeEaDeKYe7IJ792
133,Die Eiskönigin - Völlig unverfroren (Let It Go),Demi Lovato,2013,https://open.spotify.com/track/5xkRXWqt8MAXh6wlhE3ODp
134,Der Rosarote Panther,Henry Mancini,1963,https://open.spotify.com/track/0juPSJLFnLFim7BK6VzTes
135,Das Dschungelbuch (The Bare Necessities),"Phil Harris, Bruce Reitherman",1967,https://open.spotify.com/track/6gwWuSgLKqrZYpFEaFdcKh
136,Barbie (I'm Just Ken),Ryan Gosling,2023,https://open.spotify.com/track/3zXIvb4nZ3cTdT8CsbTy3U
137,Bram Stoker's Dracula (Love Song for a Vampire),Annie Lennox,1992,https://open.spotify.com/track/4PmjolpLqJ9G14l2ORO06x
138,Knight Rider,Stu Phillips,1982,https://open.spotify.com/track/2R2gMe3zb9BgCdT2PZh1s3
